Year,Experiment,Location,Treatment,Trt_code,Rep,Plot,Baseline Nitrate,Recalculated IWG Grain kg/ha,Recalculated IWG Straw kg/ha,Legume Biomass kg/ha,Total VBiomass,Legume,Weed Biomass kg/ha,Legume weed biomass kg/ha,Plot,IWG_%C,IWG_13C,IWG_%N,IWG_15N,IWG_CN,Diff_IWG_LEG,Leg_Fraction,% N_transfer
2017,Legume Trial,Rosemount,none,None,1,106,24,619.84,4219.68,NA,4219.68,0,144.7368421,0,106,40.0081257,-31.507,2.58,9.593,15.5158,NA,NA,NA
2017,Legume Trial,Rosemount,none,None,2,206,6,447,3337.6,NA,3337.6,0,82.53588517,0,206,41.3154027,-31.43,2.51,6.1181,16.4633,NA,NA,NA
2017,Legume Trial,Rosemount,none,None,3,304,12,824.864,3647.52,NA,3647.52,0,234.4497608,64.59330144,304,40.4348064,-31.696,2.33,5.4569,17.3834,NA,NA,NA
2017,Legume Trial,Rosemount,none,None,4,405,3,467.264,2836.96,NA,2836.96,0,92.10526316,0,405,41.4061859,-32.03,2.57,10.133,16.0871,NA,NA,NA
2017,Legume Trial,Rosemount,Red Clover,RdCl,1,101,10,989.36,5197.12,772.7272727,5969.847273,1,21.53110048,0,101,41.8328666,-31.533,2.74,6.7038,15.2489,6.97378096,0.10821549,0.123475558
2017,Legume Trial,Rosemount,Red Clover,RdCl,2,205,17,699.704,3909.76,349.2822967,4259.042297,1,26.31578947,23.92344498,205,41.7965533,-31.123,2.85,8.1669,14.6469,8.37689608,NA,-0.03837346
2017,Legume Trial,Rosemount,Red Clover,RdCl,3,308,24,749.768,3456.8,593.3014354,4050.101435,1,110.0478469,0,308,41.2609329,-31.415,2.81,5.6802,14.6818,6.08022595,0.23519452,0.236700669
2017,Legume Trial,Rosemount,Red Clover,RdCl,4,404,8,386.208,2312.48,1614.832536,3927.312536,1,0,0,404,41.3698726,-31.792,2.86,8.6069,14.4761,8.63693174,NA,-0.087049971
2017,Legume Trial,Rosemount,White Clover,WhCl,1,105,,845.128,4958.72,28.70813397,4987.428134,1,0,0,105,40.8614871,-31.163,2.77,8.1711,14.7679,0.16112339,NA,-0.038841083
2017,Legume Trial,Rosemount,White Clover,WhCl,2,208,,660.368,3337.6,47.84688995,3385.44689,1,120.8133971,35.88516746,208,40.8705654,-31.43,2.55,10.098,16.035,0.04790706,NA,-0.251980869
2017,Legume Trial,Rosemount,White Clover,WhCl,3,302,,541.168,2670.08,41.86602871,2711.946029,1,63.39712919,47.84688995,302,41.2518545,-31.491,2.69,7.9691,15.3353,0.08913789,NA,-0.016497554
2017,Legume Trial,Rosemount,White Clover,WhCl,4,401,,643.68,3075.36,33.49282297,3108.852823,1,167.4641148,0,401,41.5695955,-31.935,2.67,6.9246,15.5619,0.05457275,0.9197494,0.099051687
2017,Legume Trial,Saint Paul,40 Lbs lb N/Ac,MedN,1,103,,238.4,5530.88,NA,5530.88,0,0,0,103,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Saint Paul,40 Lbs lb N/Ac,MedN,2,204,,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Saint Paul,40 Lbs lb N/Ac,MedN,3,304,,575.736,5721.6,NA,5721.6,0,82.53588517,0,304,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Saint Paul,40 Lbs lb N/Ac,MedN,4,401,,377.864,3242.24,NA,3242.24,0,764.354067,0,401,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Saint Paul,80 Lbs lb N/Ac,HiN,1,105,,476.8,8725.44,NA,8725.44,0,19.13875598,0,105,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Saint Paul,80 Lbs lb N/Ac,HiN,2,201,,381.44,3838.24,NA,3838.24,0,331.3397129,39.47368421,201,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Saint Paul,80 Lbs lb N/Ac,HiN,3,306,,NA,NA,NA,NA,NA,NA,NA,306,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Saint Paul,80 Lbs lb N/Ac,HiN,4,402,,98.936,3051.52,NA,3051.52,0,0,0,402,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Saint Paul,Alfalfa,Alf,1,101,,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Saint Paul,Alfalfa,Alf,2,206,,113.24,1454.24,1417.464115,2871.704115,1,0,0,206,40.345,-40.23,2.52,7.21,16.0417,6.22,0.02061657,0.15446339
2017,Legume Trial,Saint Paul,Alfalfa,Alf,3,308,,107.28,1835.68,409.0909091,2244.770909,1,1.196172249,0,308,38.82,-38.88,2.27,6.37,17.1013,5.6,0.14776201,0.238716148
2017,Legume Trial,Saint Paul,Alfalfa,Alf,4,406,,472.032,1249.216,415.0717703,1664.28777,1,263.1578947,20.33492823,406,39.47,-39.2,2.64,7.53,14.9508,6.42,NA,0.122367101
2017,Legume Trial,Saint Paul,Alsike Clover,AlCl,1,102,,457.728,4624.96,204.5454545,4829.505455,1,160.2870813,0,102,40.39,-30.53,2.62,8.5,15.3894,8.37363956,NA,0.024710175
2017,Legume Trial,Saint Paul,Alsike Clover,AlCl,2,208,,308.728,3695.2,691.3875598,4386.58756,1,27.51196172,0,208,40.21,-30.6,2.45,9.08,16.4148,9.28546754,NA,-0.032644688
2017,Legume Trial,Saint Paul,Alsike Clover,AlCl,3,307,,NA,NA,NA,NA,NA,NA,NA,307,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Saint Paul,Alsike Clover,AlCl,4,405,,338.528,3218.4,163.8755981,3382.275598,1,0,0,405,41.09,-30.48,2.4,8.85,17.1284,8.74394611,NA,-0.010425888
2017,Legume Trial,Saint Paul,Birdsfoot Trefoil,BTre,1,109,,400.512,2717.76,84.92822967,2802.68823,1,168.6602871,57.41626794,109,40.2,-30.04,2.38,9.02,16.8607,10.2198919,NA,-0.027306908
2017,Legume Trial,Saint Paul,Birdsfoot Trefoil,BTre,2,207,,390.976,2312.48,117.2248804,2429.70488,1,38.27751196,21.53110048,207,39.62,-29.69,2.32,9.58,17.1102,10.7751469,NA,-0.082999486
2017,Legume Trial,Saint Paul,Birdsfoot Trefoil,BTre,3,301,,276.544,2407.84,90.90909091,2498.749091,1,1.196172249,0,301,40.2,-30.35,2.06,7.79,19.5215,8.98486764,NA,0.096567138
2017,Legume Trial,Saint Paul,Birdsfoot Trefoil,BTre,4,409,,NA,NA,NA,NA,1,NA,NA,409,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Saint Paul,Canada Milk Vetch,CMV,1,108,,280.12,2574.72,1.196172249,2575.916172,1,163.8755981,28.70813397,108,39.29,-30.26,2.08,10.34,18.9187,10.2755215,NA,-0.15902924
2017,Legume Trial,Saint Paul,Canada Milk Vetch,CMV,2,202,,385.016,4720.32,1.196172249,4721.516172,1,39.47368421,5.980861244,202,39.32,-29.81,1.95,8.83,20.1432,8.77461334,NA,-0.008486794
2017,Legume Trial,Saint Paul,Canada Milk Vetch,CMV,3,309,,652.024,6103.04,31.10047847,6134.140478,1,1.196172249,25.11961722,309,40.31,-30.19,1.96,9.4,20.5937,9.34307248,NA,-0.065503759
2017,Legume Trial,Saint Paul,Canada Milk Vetch,CMV,4,403,,301.576,3027.68,1.196172249,3028.876172,1,0,0,403,39.4,-30.72,1.7,8.08,23.1288,8.02294135,NA,0.066906585
2017,Legume Trial,Saint Paul,none,None,1,106,,395.744,7938.72,NA,7938.72,0,46.6507177,0,106,41.18,-31.2,2.58,8.71,15.9777,NA,NA,NA
2017,Legume Trial,Saint Paul,none,None,2,209,,557.856,5197.12,NA,5197.12,0,0,3.588516746,209,41.11,-31.19,2.29,7.57,17.912,NA,NA,NA
2017,Legume Trial,Saint Paul,none,None,3,303,,392.168,2741.6,NA,2741.6,0,7.177033493,1.196172249,303,40.53,-30.71,2.32,9.62,17.4693,NA,NA,NA
2017,Legume Trial,Saint Paul,none,None,4,408,,71.52,2598.56,NA,2598.56,0,143.5406699,0,408,40.620915,-30.927,2.17,9.1101,18.7134,NA,NA,NA
2017,Legume Trial,Saint Paul,Red Clover,RdCl,1,104,,371.904,5077.92,407.8947368,5485.814737,1,0,0,104,42.13,-37.32,3.54,1.45,11.9011,NA,NA,0.73219659
2017,Legume Trial,Saint Paul,Red Clover,RdCl,2,205,,262.24,3528.32,970.0956938,4498.415694,1,0,0,205,40.61,-43.65,2.74,5.56,14.8212,5.36,0.24939796,0.31995988
